Dataset,Sample,PC,PC_Score,PC_Flag,Rank,Metabolite,Raw_Value,Z_Value,Value_Direction,Loading,Loading_Direction,Contribution,Abs_Contribution
Placenta,sample-25,PC1,-33.99637350538498,low,20,119008,0.897478262220881,-2.9854562635138726,low,0.05963420891090244,positive,-0.17803532251274848,0.17803532251274848
Placenta,sample-25,PC2,-20.51059102814684,low,1,703025,1.22451830369269,4.192843952683774,high,-0.0706779325584717,negative,-0.2963415421159797,0.2963415421159797
Placenta,sample-25,PC2,-20.51059102814684,low,2,206005,0.796033001372509,-3.6494008602764296,low,0.07663589396176085,positive,-0.2796750973521033,0.2796750973521033
Placenta,sample-25,PC2,-20.51059102814684,low,3,206007,0.837041888682779,-3.3425557672324073,low,0.07733657068783682,positive,-0.2585018003706057,0.2585018003706057
Placenta,sample-25,PC2,-20.51059102814684,low,4,114001,0.81491913470757,-3.531925137521507,low,0.06885415307175645,positive,-0.24318771405689027,0.24318771405689027
Placenta,sample-25,PC2,-20.51059102814684,low,5,117020,0.75519052113464,-4.050819435894836,low,0.05766084689081084,positive,-0.23357367927545292,0.23357367927545292
Placenta,sample-25,PC2,-20.51059102814684,low,6,117025,0.822775744203187,-5.14638666317062,low,0.04469324282157053,positive,-0.23000870879077662,0.23000870879077662
Placenta,sample-25,PC2,-20.51059102814684,low,7,402014,1.165495960982,4.337848896704218,high,-0.05045487342818462,negative,-0.21886561703380158,0.21886561703380158
Placenta,sample-25,PC2,-20.51059102814684,low,8,114011,0.736208241450002,-3.204624802925746,low,0.06796864766186375,positive,-0.21781401411852958,0.21781401411852958
Placenta,sample-25,PC2,-20.51059102814684,low,9,210011-1,0.823891241167589,-4.364746976867235,low,0.046653711294285596,positive,-0.20363164533136985,0.20363164533136985
Placenta,sample-25,PC2,-20.51059102814684,low,10,310002,1.32911849300235,4.469504108297198,high,-0.04527459196145793,negative,-0.20235497477321548,0.20235497477321548
Placenta,sample-25,PC2,-20.51059102814684,low,11,703046,0.846194754705691,-3.1583298863528637,low,0.0616980500152521,positive,-0.1948627952928645,0.1948627952928645
Placenta,sample-25,PC2,-20.51059102814684,low,12,119028,0.840493067903158,-3.4593441077826776,low,0.05628106215027763,positive,-0.1946955607293136,0.1946955607293136
Placenta,sample-25,PC2,-20.51059102814684,low,13,905018,0.828951472344903,-3.303152234638991,low,0.058569356513113825,positive,-0.19346350084765968,0.19346350084765968
Placenta,sample-25,PC2,-20.51059102814684,low,14,114009,0.854291517193585,-3.034662163615748,low,0.0632924568647632,positive,-0.1920712240897787,0.1920712240897787
Placenta,sample-25,PC2,-20.51059102814684,low,15,119030,0.910575193635479,-3.060928701960049,low,0.06220307827397807,positive,-0.190399187639087,0.190399187639087
Placenta,sample-25,PC2,-20.51059102814684,low,16,117013,0.923420247601029,-3.2557410395585897,low,0.057102789387485156,positive,-0.18591189488210613,0.18591189488210613
Placenta,sample-25,PC2,-20.51059102814684,low,17,116014,1.07070951899726,6.244997998398399,high,-0.029510578365766225,negative,-0.18429350282578918,0.18429350282578918
Placenta,sample-25,PC2,-20.51059102814684,low,18,703059,0.788584684144133,-3.6614437105594972,low,0.048357651605956585,positive,-0.1770588193300571,0.1770588193300571
Placenta,sample-25,PC2,-20.51059102814684,low,19,116016,1.16033466897456,3.2751819722323487,high,-0.05302660866575385,negative,-0.17367179275069666,0.17367179275069666
Placenta,sample-25,PC2,-20.51059102814684,low,20,646001,1.33388304604956,4.0769446260442175,high,-0.04224878133162861,negative,-0.17224594200690052,0.17224594200690052
